Pkey,Year,Quarter,Year ending,Main accommodation used,Total visitors
398,2015,4,YEDec 2015,  Another place where you pay to park a caravan or campervan / motorhome overnight,5371
399,2015,4,YEDec 2015,  Backpackers,86125
400,2015,4,YEDec 2015,  Bed and Breakfast,72013
401,2015,4,YEDec 2015,  Camping at a National Park / Department of Conservation camping ground,21387
402,2015,4,YEDec 2015,  Farm-stay or Home-stay,16715
403,2015,4,YEDec 2015,"  Free camping - staying at a place that is NOT an official camp site, in a tent, caravan, campervan / motorhome",12282
404,2015,4,YEDec 2015,  Hotel,658999
405,2015,4,YEDec 2015,  House / flat that you paid some rent for,111315
406,2015,4,YEDec 2015,  In a hut at a National Park / Department of Conservation area,17167
407,2015,4,YEDec 2015,"  Luxury Accommodation, 5-star Hotel, Luxury Lodge",170367
408,2015,4,YEDec 2015,  Marae,3988
409,2015,4,YEDec 2015,"  Motel, Motor Inn or Serviced Apartment",410861
410,2015,4,YEDec 2015,  NOT SURE,50108
411,2015,4,YEDec 2015,"  Other camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)",105634
412,2015,4,YEDec 2015,  Other,
413,2015,4,YEDec 2015,  Private Hotel / Guesthouse,22922
414,2015,4,YEDec 2015,  Staying with family or friends,796007
